T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
23.6,32.7,15.7,-,39,6.9,0,-,100.25
23.6,32.7,15.7,-,39,6.9,0,-,100.25
23.6,32.7,15.7,-,39,6.9,0,-,100.25
24.6,31.8,19,-,54,6.9,2.8,5.4,165.0
24.6,31.8,19,-,54,6.9,2.8,5.4,165.0
24.6,31.8,19,-,54,6.9,2.8,5.4,165.0
24.3,31.6,19.2,-,60,6.3,2.4,5.4,116.458
24.3,31.6,19.2,-,60,6.3,2.4,5.4,116.458
24.3,31.6,19.2,-,60,6.3,2.4,5.4,116.458
24.7,31.6,20.2,-,63,6.3,2.2,5.4,143.0
24.7,31.6,20.2,-,63,6.3,2.2,5.4,143.0
24.7,31.6,20.2,-,63,6.3,2.2,5.4,143.0
23.4,30.1,19.2,-,65,6.3,4.3,7.6,231.125
23.4,30.1,19.2,-,65,6.3,4.3,7.6,231.125
23.4,30.1,19.2,-,65,6.3,4.3,7.6,231.125
23,30.1,19.1,-,65,6.3,3.5,3.5,218.667
23,30.1,19.1,-,65,6.3,3.5,3.5,218.667
23,30.1,19.1,-,65,6.3,3.5,3.5,218.667
23.9,30.3,19.2,-,63,6.9,2.2,3.5,211.0
23.9,30.3,19.2,-,63,6.9,2.2,3.5,211.0
23.9,30.3,19.2,-,63,6.9,2.2,3.5,211.0
23.4,30.8,19.7,-,64,6.3,4.4,5.4,52.208
23.4,30.8,19.7,-,64,6.3,4.4,5.4,52.208
23.4,30.8,19.7,-,64,6.3,4.4,5.4,52.208
24.2,32,19.3,-,49,6.9,4.4,5.4,187.5
24.2,32,19.3,-,49,6.9,4.4,5.4,187.5
24.2,32,19.3,-,49,6.9,4.4,5.4,187.5
24.5,32,17.6,-,50,6.9,3.1,5.4,130.167
24.5,32,17.6,-,50,6.9,3.1,5.4,130.167
24.5,32,17.6,-,50,6.9,3.1,5.4,130.167
23.8,31.1,19.9,-,71,6.9,5,7.6,123.125
23.8,31.1,19.9,-,71,6.9,5,7.6,123.125
23.8,31.1,19.9,-,71,6.9,5,7.6,123.125
24.9,32,19.3,-,64,6.9,3.9,5.4,120.917
24.9,32,19.3,-,64,6.9,3.9,5.4,120.917
24.9,32,19.3,-,64,6.9,3.9,5.4,120.917
23.8,32,20.2,-,67,6.9,5.2,7.6,153.625
23.8,32,20.2,-,67,6.9,5.2,7.6,153.625
23.8,32,20.2,-,67,6.9,5.2,7.6,153.625
23.9,30.6,19.9,-,67,6.9,4.6,5.4,130.333
23.9,30.6,19.9,-,67,6.9,4.6,5.4,130.333
23.9,30.6,19.9,-,67,6.9,4.6,5.4,130.333
24.6,31.6,18.6,-,61,6.9,4.1,7.6,110.708
24.6,31.6,18.6,-,61,6.9,4.1,7.6,110.708
24.6,31.6,18.6,-,61,6.9,4.1,7.6,110.708
24.2,31.6,18.2,-,54,6.8,5.4,7.6,138.5
24.2,31.6,18.2,-,54,6.8,5.4,7.6,138.5
24.2,31.6,18.2,-,54,6.8,5.4,7.6,138.5
24.9,31.8,16.6,-,35,6.9,3.5,5.4,75.75
24.9,31.8,16.6,-,35,6.9,3.5,5.4,75.75
24.9,31.8,16.6,-,35,6.9,3.5,5.4,75.75
25.3,32.8,19,-,31,6.9,4.1,7.6,146.542
25.3,32.8,19,-,31,6.9,4.1,7.6,146.542
25.3,32.8,19,-,31,6.9,4.1,7.6,146.542
25.6,33.1,17.1,-,31,6.9,3.1,5.4,116.625
25.6,33.1,17.1,-,31,6.9,3.1,5.4,116.625
25.6,33.1,17.1,-,31,6.9,3.1,5.4,116.625
27.1,35.4,18.7,-,31,6.9,3.5,5.4,80.042
27.1,35.4,18.7,-,31,6.9,3.5,5.4,80.042
27.1,35.4,18.7,-,31,6.9,3.5,5.4,80.042
28.2,35.9,20.8,-,33,7.7,0.9,3.5,100.042
28.2,35.9,20.8,-,33,7.7,0.9,3.5,100.042
28.2,35.9,20.8,-,33,7.7,0.9,3.5,100.042
27.9,35.9,22.4,-,42,6.9,1.1,5.4,109.458
27.9,35.9,22.4,-,42,6.9,1.1,5.4,109.458
27.9,35.9,22.4,-,42,6.9,1.1,5.4,109.458
27.6,35.3,20.5,-,37,6.9,2.4,5.4,110.167
27.6,35.3,20.5,-,37,6.9,2.4,5.4,110.167
27.6,35.3,20.5,-,37,6.9,2.4,5.4,110.167
27.3,35.3,20.3,-,38,6.9,2.6,7.6,108.208
27.3,35.3,20.3,-,38,6.9,2.6,7.6,108.208
27.3,35.3,20.3,-,38,6.9,2.6,7.6,108.208
26.8,34.6,19.4,-,33,6.9,2.2,5.4,103.833
26.8,34.6,19.4,-,33,6.9,2.2,5.4,103.833
26.8,34.6,19.4,-,33,6.9,2.2,5.4,103.833
28.6,36,23.5,-,33,6.9,1.3,3.5,74.292
28.6,36,23.5,-,33,6.9,1.3,3.5,74.292
28.6,36,23.5,-,33,6.9,1.3,3.5,74.292
28.3,35.8,21.9,-,49,6.9,2.8,3.5,101.792
28.3,35.8,21.9,-,49,6.9,2.8,3.5,101.792
28.3,35.8,21.9,-,49,6.9,2.8,3.5,101.792
29.2,35.8,23.4,-,43,6.9,3.3,7.6,106.167
29.2,35.8,23.4,-,43,6.9,3.3,7.6,106.167
29.2,35.8,23.4,-,43,6.9,3.3,7.6,106.167
28.9,36,23.3,-,40,6.9,3.3,5.4,89.875
28.9,36,23.3,-,40,6.9,3.3,5.4,89.875
28.9,36,23.3,-,40,6.9,3.3,5.4,89.875
28.6,36.2,22.3,-,38,6.9,2.4,5.4,48.208
28.6,36.2,22.3,-,38,6.9,2.4,5.4,48.208
28.6,36.2,22.3,-,38,6.9,2.4,5.4,48.208
28.5,36.4,22.6,-,47,6.9,4.3,7.6,47.042
28.5,36.4,22.6,-,47,6.9,4.3,7.6,47.042
28.5,36.4,22.6,-,47,6.9,4.3,7.6,47.042
25.7,36.4,20.4,-,59,6.6,3.9,5.4,67.792
25.7,36.4,20.4,-,59,6.6,3.9,5.4,67.792
25.7,36.4,20.4,-,59,6.6,3.9,5.4,67.792
27.1,34.5,22.3,-,59,6.9,3,3.5,56.667
27.1,34.5,22.3,-,59,6.9,3,3.5,56.667
27.1,34.5,22.3,-,59,6.9,3,3.5,56.667
27.7,34.5,23.1,-,56,6.9,2.8,7.6,79.0
27.7,34.5,23.1,-,56,6.9,2.8,7.6,79.0
27.7,34.5,23.1,-,56,6.9,2.8,7.6,79.0
27.6,34,22.7,-,56,6.9,3,5.4,123.583
27.6,34,22.7,-,56,6.9,3,5.4,123.583
27.6,34,22.7,-,56,6.9,3,5.4,123.583
28.6,35.4,22.2,-,47,6.9,2.4,5.4,80.292
28.6,35.4,22.2,-,47,6.9,2.4,5.4,80.292
28.6,35.4,22.2,-,47,6.9,2.4,5.4,80.292
28.7,35.5,23.4,-,36,6.9,1.9,3.5,137.875
28.7,35.5,23.4,-,36,6.9,1.9,3.5,137.875
28.7,35.5,23.4,-,36,6.9,1.9,3.5,137.875
28.7,35.5,21.5,-,34,7.7,1.5,5.4,87.875
28.7,35.5,21.5,-,34,7.7,1.5,5.4,87.875
28.7,35.5,21.5,-,34,7.7,1.5,5.4,87.875
29.8,36.5,23.8,-,53,7.7,3.3,5.4,121.208
29.8,36.5,23.8,-,53,7.7,3.3,5.4,121.208
29.8,36.5,23.8,-,53,7.7,3.3,5.4,121.208
29.6,36.5,24.7,-,52,6.9,1.9,3.5,97.042
29.6,36.5,24.7,-,52,6.9,1.9,3.5,97.042
29.6,36.5,24.7,-,52,6.9,1.9,3.5,97.042
29.3,36.3,24.8,-,49,6.9,2.8,3.5,92.083
29.3,36.3,24.8,-,49,6.9,2.8,3.5,92.083
29.3,36.3,24.8,-,49,6.9,2.8,3.5,92.083
28.8,36,24.2,-,50,6.9,3.9,5.4,130.625
28.8,36,24.2,-,50,6.9,3.9,5.4,130.625
28.8,36,24.2,-,50,6.9,3.9,5.4,130.625
28.6,35.8,24.6,-,50,6.3,3.9,7.6,90.5
28.6,35.8,24.6,-,50,6.3,3.9,7.6,90.5
28.6,35.8,24.6,-,50,6.3,3.9,7.6,90.5
27.8,35.8,20,-,56,6.9,3.1,7.6,55.417
27.8,35.8,20,-,56,6.9,3.1,7.6,55.417
27.8,35.8,20,-,56,6.9,3.1,7.6,55.417
24.5,30.6,21.4,-,76,7.7,5.2,7.6,108.333
24.5,30.6,21.4,-,76,7.7,5.2,7.6,108.333
24.5,30.6,21.4,-,76,7.7,5.2,7.6,108.333
22.8,26.7,21,-,86,6.3,5.2,5.4,198.875
22.8,26.7,21,-,86,6.3,5.2,5.4,198.875
22.8,26.7,21,-,86,6.3,5.2,5.4,198.875
24.1,28.3,20.5,-,78,6.9,4.6,7.6,120.708
24.1,28.3,20.5,-,78,6.9,4.6,7.6,120.708
24.1,28.3,20.5,-,78,6.9,4.6,7.6,120.708
27.4,35.6,23.8,-,60,6.9,3.9,7.6,60.542
27.4,35.6,23.8,-,60,6.9,3.9,7.6,60.542
27.4,35.6,23.8,-,60,6.9,3.9,7.6,60.542
28.8,35.6,22.8,-,47,6.9,4.1,7.6,79.0
28.8,35.6,22.8,-,47,6.9,4.1,7.6,79.0
28.8,35.6,22.8,-,47,6.9,4.1,7.6,79.0
28.6,35.5,22.8,-,49,6.9,3.9,5.4,133.708
28.6,35.5,22.8,-,49,6.9,3.9,5.4,133.708
28.6,35.5,22.8,-,49,6.9,3.9,5.4,133.708
28.4,35.5,23.6,-,56,7.7,3.7,14.8,53.25
28.4,35.5,23.6,-,56,7.7,3.7,14.8,53.25
28.4,35.5,23.6,-,56,7.7,3.7,14.8,53.25
25.8,33.9,21.4,-,71,6.9,1.5,5.4,65.167
25.8,33.9,21.4,-,71,6.9,1.5,5.4,65.167
25.8,33.9,21.4,-,71,6.9,1.5,5.4,65.167
26.3,33,21.2,-,65,7.4,4.3,7.6,83.583
26.3,33,21.2,-,65,7.4,4.3,7.6,83.583
26.3,33,21.2,-,65,7.4,4.3,7.6,83.583
26.4,35.2,18.9,-,62,9.2,4.4,5.4,40.667
26.4,35.2,18.9,-,62,9.2,4.4,5.4,40.667
26.4,35.2,18.9,-,62,9.2,4.4,5.4,40.667
27.8,34.4,22.2,-,61,7.7,2.4,5.4,48.125
27.8,34.4,22.2,-,61,7.7,2.4,5.4,48.125
27.8,34.4,22.2,-,61,7.7,2.4,5.4,48.125
25.8,34.5,20.2,-,70,6.9,3.9,5.4,103.167
25.8,34.5,20.2,-,70,6.9,3.9,5.4,103.167
25.8,34.5,20.2,-,70,6.9,3.9,5.4,103.167
28.1,35,22.3,-,57,7.4,3.3,5.4,143.375
28.1,35,22.3,-,57,7.4,3.3,5.4,143.375
28.1,35,22.3,-,57,7.4,3.3,5.4,143.375
27.6,35,20.1,-,60,6.9,3.9,5.4,44.792
27.6,35,20.1,-,60,6.9,3.9,5.4,44.792
27.6,35,20.1,-,60,6.9,3.9,5.4,44.792
25.9,34.5,20.4,-,70,6.9,4.6,7.6,71.958
25.9,34.5,20.4,-,70,6.9,4.6,7.6,71.958
25.9,34.5,20.4,-,70,6.9,4.6,7.6,71.958
24.5,29.2,20,-,75,6.9,2.8,3.5,17.5
24.5,29.2,20,-,75,6.9,2.8,3.5,17.5
24.5,29.2,20,-,75,6.9,2.8,3.5,17.5
25.9,31.2,22.2,-,72,7.7,6.1,11.1,101.0
25.9,31.2,22.2,-,72,7.7,6.1,11.1,101.0
25.9,31.2,22.2,-,72,7.7,6.1,11.1,101.0
25.9,31.3,20.9,-,73,6.9,7.4,9.4,76.208
25.9,31.3,20.9,-,73,6.9,7.4,9.4,76.208
25.9,31.3,20.9,-,73,6.9,7.4,9.4,76.208
24.6,31.3,22.2,-,74,6.9,9.4,22.2,84.333
24.6,31.3,22.2,-,74,6.9,9.4,22.2,84.333
24.6,31.3,22.2,-,74,6.9,9.4,22.2,84.333
24.1,30.7,21.9,-,74,5.8,8.1,14.8,48.833
24.1,30.7,21.9,-,74,5.8,8.1,14.8,48.833
24.1,30.7,21.9,-,74,5.8,8.1,14.8,48.833
25.4,30.2,21.4,-,67,9.2,8.9,9.4,64.458
25.4,30.2,21.4,-,67,9.2,8.9,9.4,64.458
25.4,30.2,21.4,-,67,9.2,8.9,9.4,64.458
25.2,31,21.6,-,71,7.7,9.3,14.8,80.542
25.2,31,21.6,-,71,7.7,9.3,14.8,80.542
25.2,31,21.6,-,71,7.7,9.3,14.8,80.542
24.4,29.4,20.8,-,72,6.9,9.8,11.1,65.417
24.4,29.4,20.8,-,72,6.9,9.8,11.1,65.417
24.4,29.4,20.8,-,72,6.9,9.8,11.1,65.417
24.7,29.2,21.2,-,71,7.4,9.1,11.1,54.667
24.7,29.2,21.2,-,71,7.4,9.1,11.1,54.667
24.7,29.2,21.2,-,71,7.4,9.1,11.1,54.667
25.3,30.4,21.2,-,69,6.6,8.7,11.1,78.542
25.3,30.4,21.2,-,69,6.6,8.7,11.1,78.542
25.3,30.4,21.2,-,69,6.6,8.7,11.1,78.542
26,32,21.4,-,61,6.9,5.7,7.6,49.125
26,32,21.4,-,61,6.9,5.7,7.6,49.125
26,32,21.4,-,61,6.9,5.7,7.6,49.125
26.6,33,21.4,-,60,6.9,4.3,5.4,65.875
26.6,33,21.4,-,60,6.9,4.3,5.4,65.875
26.6,33,21.4,-,60,6.9,4.3,5.4,65.875
27.4,33.6,22.2,-,58,7.7,2.4,3.5,72.417
27.4,33.6,22.2,-,58,7.7,2.4,3.5,72.417
27.4,33.6,22.2,-,58,7.7,2.4,3.5,72.417
24.9,31.3,21.1,-,75,6.9,5.9,9.4,184.667
24.9,31.3,21.1,-,75,6.9,5.9,9.4,184.667
24.9,31.3,21.1,-,75,6.9,5.9,9.4,184.667
25.4,30.6,21.8,-,69,6.9,5.2,7.6,113.333
25.4,30.6,21.8,-,69,6.9,5.2,7.6,113.333
25.4,30.6,21.8,-,69,6.9,5.2,7.6,113.333
25.5,30.8,20.8,-,64,6.9,6.9,14.8,146.208
25.5,30.8,20.8,-,64,6.9,6.9,14.8,146.208
25.5,30.8,20.8,-,64,6.9,6.9,14.8,146.208
23.1,27.5,20.8,-,81,6.9,6.3,11.1,112.292
23.1,27.5,20.8,-,81,6.9,6.3,11.1,112.292
23.1,27.5,20.8,-,81,6.9,6.3,11.1,112.292
22.6,27.5,20.3,-,82,6.9,5.2,9.4,60.625
22.6,27.5,20.3,-,82,6.9,5.2,9.4,60.625
22.6,27.5,20.3,-,82,6.9,5.2,9.4,60.625
22.7,28.6,19.9,-,83,6.9,5.6,7.6,71.0
22.7,28.6,19.9,-,83,6.9,5.6,7.6,71.0
22.7,28.6,19.9,-,83,6.9,5.6,7.6,71.0
23.6,27.1,20.3,-,76,6.6,8.7,14.8,134.958
23.6,27.1,20.3,-,76,6.6,8.7,14.8,134.958
23.6,27.1,20.3,-,76,6.6,8.7,14.8,134.958
23,26.6,21,-,80,5.8,9.6,14.8,81.125
23,26.6,21,-,80,5.8,9.6,14.8,81.125
23,26.6,21,-,80,5.8,9.6,14.8,81.125
24,28.5,20.6,-,74,9.2,7.6,16.5,197.667
24,28.5,20.6,-,74,9.2,7.6,16.5,197.667
24,28.5,20.6,-,74,9.2,7.6,16.5,197.667
23.3,28.4,20,-,77,6.3,6.7,11.1,160.375
23.3,28.4,20,-,77,6.3,6.7,11.1,160.375
23.3,28.4,20,-,77,6.3,6.7,11.1,160.375
23.9,28.9,21,-,74,6.3,11.1,14.8,99.375
23.9,28.9,21,-,74,6.3,11.1,14.8,99.375
23.9,28.9,21,-,74,6.3,11.1,14.8,99.375
23.2,28,21.4,-,81,6.6,7.4,14.8,123.875
23.2,28,21.4,-,81,6.6,7.4,14.8,123.875
23.2,28,21.4,-,81,6.6,7.4,14.8,123.875
24.1,29.4,20.4,-,78,6.9,6.3,7.6,47.375
24.1,29.4,20.4,-,78,6.9,6.3,7.6,47.375
24.1,29.4,20.4,-,78,6.9,6.3,7.6,47.375
23.4,28.4,21,-,79,6.6,5.7,9.4,38.167
23.4,28.4,21,-,79,6.6,5.7,9.4,38.167
23.4,28.4,21,-,79,6.6,5.7,9.4,38.167
23.7,27.7,21,-,75,6.9,9.4,13,42.542
23.7,27.7,21,-,75,6.9,9.4,13,42.542
23.7,27.7,21,-,75,6.9,9.4,13,42.542
22.9,28.4,20.5,-,85,5.5,7.6,11.1,25.083
22.9,28.4,20.5,-,85,5.5,7.6,11.1,25.083
22.9,28.4,20.5,-,85,5.5,7.6,11.1,25.083
23.1,27.4,20.4,-,81,5.5,7.8,11.1,45.833
23.1,27.4,20.4,-,81,5.5,7.8,11.1,45.833
23.1,27.4,20.4,-,81,5.5,7.8,11.1,45.833
23.2,28.2,21,-,81,5.5,7.4,14.8,33.708
23.2,28.2,21,-,81,5.5,7.4,14.8,33.708
23.2,28.2,21,-,81,5.5,7.4,14.8,33.708
23.6,27.8,20.8,-,73,8.2,7.2,11.1,26.417
23.6,27.8,20.8,-,73,8.2,7.2,11.1,26.417
23.6,27.8,20.8,-,73,8.2,7.2,11.1,26.417
22.8,28.4,20.7,-,83,6.3,6.9,11.1,30.667
22.8,28.4,20.7,-,83,6.3,6.9,11.1,30.667
22.8,28.4,20.7,-,83,6.3,6.9,11.1,30.667
23.6,29.2,20.2,-,79,6.9,6.9,9.4,29.958
23.6,29.2,20.2,-,79,6.9,6.9,9.4,29.958
23.6,29.2,20.2,-,79,6.9,6.9,9.4,29.958
22.8,28,20.4,-,84,6.9,5.2,9.4,23.875
22.8,28,20.4,-,84,6.9,5.2,9.4,23.875
22.8,28,20.4,-,84,6.9,5.2,9.4,23.875
23.1,29.3,20,-,81,5.8,5,7.6,22.333
23.1,29.3,20,-,81,5.8,5,7.6,22.333
23.1,29.3,20,-,81,5.8,5,7.6,22.333
24.1,29.5,20,-,74,9.2,4.4,5.4,25.083
24.1,29.5,20,-,74,9.2,4.4,5.4,25.083
24.1,29.5,20,-,74,9.2,4.4,5.4,25.083
24.1,28.8,20.2,-,83,6.9,2.2,7.6,66.792
24.1,28.8,20.2,-,83,6.9,2.2,7.6,66.792
24.1,28.8,20.2,-,83,6.9,2.2,7.6,66.792
24.7,30.8,20.7,-,80,6.9,0.9,3.5,64.875
24.7,30.8,20.7,-,80,6.9,0.9,3.5,64.875
24.7,30.8,20.7,-,80,6.9,0.9,3.5,64.875
25.4,30.8,20.4,-,78,6.9,0.9,3.5,47.583
25.4,30.8,20.4,-,78,6.9,0.9,3.5,47.583
25.4,30.8,20.4,-,78,6.9,0.9,3.5,47.583
23.7,29.6,20.5,-,79,6.9,6.7,9.4,33.5
23.7,29.6,20.5,-,79,6.9,6.7,9.4,33.5
23.7,29.6,20.5,-,79,6.9,6.7,9.4,33.5
23.2,28,20.2,-,75,6.9,8,9.4,43.042
23.2,28,20.2,-,75,6.9,8,9.4,43.042
23.2,28,20.2,-,75,6.9,8,9.4,43.042
21.8,28,20.1,-,85,5.5,7.2,9.4,38.417
21.8,28,20.1,-,85,5.5,7.2,9.4,38.417
21.8,28,20.1,-,85,5.5,7.2,9.4,38.417
22.6,27.4,19.8,-,79,6.9,7.8,9.4,49.292
22.6,27.4,19.8,-,79,6.9,7.8,9.4,49.292
22.6,27.4,19.8,-,79,6.9,7.8,9.4,49.292
22.7,27.4,20.4,-,80,6.9,7.2,9.4,19.542
22.7,27.4,20.4,-,80,6.9,7.2,9.4,19.542
22.7,27.4,20.4,-,80,6.9,7.2,9.4,19.542
22.5,27.2,20,-,84,6.9,5.6,9.4,22.833
22.5,27.2,20,-,84,6.9,5.6,9.4,22.833
22.5,27.2,20,-,84,6.9,5.6,9.4,22.833
23.1,26.8,19.7,-,79,7.7,6.7,9.4,24.292
23.1,26.8,19.7,-,79,7.7,6.7,9.4,24.292
23.1,26.8,19.7,-,79,7.7,6.7,9.4,24.292
23.3,28.7,20.3,-,77,6.9,6.3,9.4,74.667
23.3,28.7,20.3,-,77,6.9,6.3,9.4,74.667
23.3,28.7,20.3,-,77,6.9,6.3,9.4,74.667
23.2,28.9,19.8,-,71,6.3,9.1,11.1,41.875
23.2,28.9,19.8,-,71,6.3,9.1,11.1,41.875
23.2,28.9,19.8,-,71,6.3,9.1,11.1,41.875
24,29.9,19.1,-,69,6.9,7.8,11.1,50.583
24,29.9,19.1,-,69,6.9,7.8,11.1,50.583
24,29.9,19.1,-,69,6.9,7.8,11.1,50.583
24.3,30.3,20.5,-,67,8.5,5.2,7.6,58.125
24.3,30.3,20.5,-,67,8.5,5.2,7.6,58.125
24.3,30.3,20.5,-,67,8.5,5.2,7.6,58.125
23.4,29.9,20.6,-,74,6.9,5,9.4,57.292
23.4,29.9,20.6,-,74,6.9,5,9.4,57.292
23.4,29.9,20.6,-,74,6.9,5,9.4,57.292
23.9,29.4,21,-,73,6.3,7,14.8,38.25
23.9,29.4,21,-,73,6.3,7,14.8,38.25
23.9,29.4,21,-,73,6.3,7,14.8,38.25
23.4,27.8,20.6,-,79,6.9,5.9,9.4,47.417
23.4,27.8,20.6,-,79,6.9,5.9,9.4,47.417
23.4,27.8,20.6,-,79,6.9,5.9,9.4,47.417
23.7,27.8,20.1,-,74,7.4,5.9,7.6,56.917
23.7,27.8,20.1,-,74,7.4,5.9,7.6,56.917
23.7,27.8,20.1,-,74,7.4,5.9,7.6,56.917
24.2,28.3,20,-,72,6.6,2.8,5.4,54.625
24.2,28.3,20,-,72,6.6,2.8,5.4,54.625
24.2,28.3,20,-,72,6.6,2.8,5.4,54.625
23.9,31.1,20.1,-,78,6.9,1.3,3.5,45.958
23.9,31.1,20.1,-,78,6.9,1.3,3.5,45.958
23.9,31.1,20.1,-,78,6.9,1.3,3.5,45.958
24.2,31.1,19.9,-,81,6.9,1.9,5.4,52.25
24.2,31.1,19.9,-,81,6.9,1.9,5.4,52.25
24.2,31.1,19.9,-,81,6.9,1.9,5.4,52.25
24.8,30,20,-,72,9.2,3.5,5.4,43.333
24.8,30,20,-,72,9.2,3.5,5.4,43.333
24.8,30,20,-,72,9.2,3.5,5.4,43.333
24.7,29.9,20.7,-,69,7.7,2.2,3.5,41.958
24.7,29.9,20.7,-,69,7.7,2.2,3.5,41.958
24.7,29.9,20.7,-,69,7.7,2.2,3.5,41.958
25.4,30.7,19.8,-,64,6.9,2.2,3.5,0.0
25.4,30.7,19.8,-,64,6.9,2.2,3.5,0.0
25.4,30.7,19.8,-,64,6.9,2.2,3.5,0.0
25.3,30.7,20.8,-,76,7.4,0.6,3.5,0.0
25.3,30.7,20.8,-,76,7.4,0.6,3.5,0.0
25.3,30.7,20.8,-,76,7.4,0.6,3.5,0.0
23.6,30.4,19.6,-,79,6.9,2.8,5.4,45.75
23.6,30.4,19.6,-,79,6.9,2.8,5.4,45.75
23.6,30.4,19.6,-,79,6.9,2.8,5.4,45.75
22.6,30.4,19.1,-,84,6.9,1.9,3.5,70.708
22.6,30.4,19.1,-,84,6.9,1.9,3.5,70.708
22.6,30.4,19.1,-,84,6.9,1.9,3.5,70.708
23.6,29.9,19.3,-,83,6.8,1.9,3.5,51.792
23.6,29.9,19.3,-,83,6.8,1.9,3.5,51.792
23.6,29.9,19.3,-,83,6.8,1.9,3.5,51.792
24.4,30,20.8,-,67,9.2,5,9.4,0.0
24.4,30,20.8,-,67,9.2,5,9.4,0.0
24.4,30,20.8,-,67,9.2,5,9.4,0.0
25.4,30.3,21.2,-,66,8.2,2.6,5.4,11.583
25.4,30.3,21.2,-,66,8.2,2.6,5.4,11.583
25.4,30.3,21.2,-,66,8.2,2.6,5.4,11.583
24,30.3,21.1,-,75,9.2,3.9,7.6,13.0
24,30.3,21.1,-,75,9.2,3.9,7.6,13.0
24,30.3,21.1,-,75,9.2,3.9,7.6,13.0
21.6,24.3,19.8,-,86,5.5,3.1,3.5,156.25
21.6,24.3,19.8,-,86,5.5,3.1,3.5,156.25
21.6,24.3,19.8,-,86,5.5,3.1,3.5,156.25
22,25.4,20.2,-,82,6.3,3.1,5.4,156.0
22,25.4,20.2,-,82,6.3,3.1,5.4,156.0
